task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
57	e8/0781d1	55975	mappedbams_23s_ivt (mapped 23s IVT fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.705	459ms	151ms	24.9%	6.5 MB	932.9 MB	143 KB	32.7 KB
61	04/6e486f	56723	bamindex_23s_ivt (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.843	326ms	123ms	14.2%	4.4 MB	27.8 MB	107.5 KB	297 B
77	7e/4cfdb2	536	ivtreadidextract_16s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.909	263ms	37ms	67.1%	0	0	102.7 KB	3.3 KB
79	96/184fd2	671	nativereadidextract_16s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.915	261ms	54ms	51.0%	0	0	112.3 KB	6.5 KB
76	cb/5236cb	388	bamindex_16s_ivt (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.898	324ms	136ms	12.9%	4.5 MB	27.8 MB	103.4 KB	297 B
67	06/70ac01	56894	mappedbams_16s_native (mapped 16s native fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.862	372ms	176ms	15.9%	6.2 MB	932.9 MB	119.1 KB	13.3 KB
78	38/338f4e	494	mappedbams_16s_ivt (mapped 16s IVT fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.906	331ms	122ms	28.7%	2.9 MB	12.2 MB	121.1 KB	15.1 KB
87	ff/ccdd50	1014	ivtreadidextract_16s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.937	303ms	49ms	56.0%	0	0	110.9 KB	6.3 KB
69	71/4d58ba	57101	mappedbams_23s_native (mapped 23s native fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.879	383ms	168ms	21.1%	6.3 MB	932.9 MB	165.4 KB	51.1 KB
71	19/7c7722	57212	bamindex_23s_native (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.886	380ms	153ms	5.9%	4.3 MB	27.8 MB	110.1 KB	296 B
109	4a/862f43	2568	depths_16s_native (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:06.033	239ms	20ms	46.1%	0	0	108.9 KB	35.1 KB
66	79/d2e253	56856	bamindex_16s_native (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.858	426ms	197ms	9.4%	4.4 MB	27.8 MB	118.6 KB	296 B
80	b9/fb1881	602	mappedbams_16s_native (mapped 16s native fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.912	377ms	189ms	18.1%	6.4 MB	932.9 MB	138 KB	29.2 KB
85	8a/16551b	879	depths_16s_ivt (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.928	366ms	12ms	58.3%	0	0	112.1 KB	35.3 KB
92	6d/3d8e96	1315	nativereadidextract_16s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.959	339ms	64ms	39.0%	0	0	103.8 KB	3.6 KB
86	a7/df234c	959	bamindex_16s_ivt (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.933	373ms	147ms	17.7%	2.9 MB	12.2 MB	112.1 KB	297 B
89	ab/422d01	1180	depths_23s_native (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.948	362ms	17ms	62.7%	0	0	122.3 KB	61.5 KB
96	cf/fadc1a	1555	nativereadidextract_23s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.974	343ms	73ms	39.3%	0	0	122.2 KB	10.1 KB
105	96/2deec6	2312	depths_23s_ivt (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:06.018	304ms	34ms	33.2%	0	0	113.1 KB	60.9 KB
88	90/29bc80	1114	mappedbams_16s_ivt (mapped 16s IVT fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.944	387ms	152ms	22.4%	6.3 MB	932.9 MB	136.6 KB	28.4 KB
93	e7/007943	1376	mappedbams_16s_native (mapped 16s native fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.963	372ms	125ms	23.6%	2.9 MB	12.2 MB	122.7 KB	16.1 KB
97	d0/cb0ad0	1723	depths_23s_native (calculate depth info from bam)	COMPLETED	0	2022-12-17 09:49:05.984	359ms	15ms	62.0%	0	0	111.1 KB	60.6 KB
83	4a/5b5d3f	785	bamindex_16s_native (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.923	453ms	172ms	14.9%	3 MB	12.2 MB	110.4 KB	297 B
91	e9/c118a8	1236	bamindex_23s_native (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.951	455ms	136ms	16.1%	2.8 MB	12.2 MB	122.3 KB	297 B
95	d0/f023fd	1628	mappedbams_23s_native (mapped 23s native fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:05.977	435ms	196ms	18.1%	6.3 MB	932.9 MB	157.5 KB	44.6 KB
100	e5/61f0d2	1883	nativereadidextract_23s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:05.993	422ms	72ms	37.5%	0	0	164.9 KB	25.2 KB
103	66/e56194	2135	ivtreadidextract_23s (extract mapped read ids from fastqs to text file)	COMPLETED	0	2022-12-17 09:49:06.007	415ms	93ms	27.3%	0	0	127.9 KB	12.3 KB
102	00/95e452	2173	mappedbams_23s_ivt (mapped 23s IVT fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:06.010	423ms	140ms	21.6%	2.9 MB	12.2 MB	168.4 KB	54.1 KB
106	25/cd9ae3	2385	bamindex_23s_ivt (index the bam file)	COMPLETED	0	2022-12-17 09:49:06.022	419ms	139ms	12.6%	2.8 MB	12.2 MB	113 KB	297 B
107	b0/4856ab	2436	bamindex_16s_native (index the bam file)	COMPLETED	0	2022-12-17 09:49:06.025	422ms	171ms	15.2%	2.9 MB	12.2 MB	108.8 KB	297 B
98	37/ecccd6	1816	bamindex_23s_native (index the bam file)	COMPLETED	0	2022-12-17 09:49:05.989	495ms	177ms	14.9%	4.4 MB	27.8 MB	111.1 KB	297 B
101	13/11d0d3	2061	mappedbams_23s_native (mapped 23s native fastqs to sorted bam files)	COMPLETED	0	2022-12-17 09:49:06.003	487ms	176ms	28.1%	2.9 MB	12.2 MB	235.4 KB	109.9 KB
110	39/c30c02	2748	mappedbamindex_16s_ivt (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.039	458ms	180ms	9.5%	3 MB	12.2 MB	96.6 KB	296 B
121	4c/37bb70	4761	mappedbamindex_23s_ivt (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.170	360ms	96ms	23.0%	0	0	101.8 KB	297 B
123	54/c12e7f	4902	mappedbamindex_23s_ivt (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.178	366ms	95ms	22.3%	2.9 MB	12.2 MB	99.1 KB	297 B
126	00/2a4e7d	5634	mappedbamindex_16s_native (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.242	308ms	81ms	24.4%	0	0	93.6 KB	297 B
127	2b/52bc3e	5701	mappedbamindex_16s_ivt (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.246	355ms	82ms	24.2%	0	0	94.4 KB	297 B
129	9c/97e83b	6027	mappedbamindex_23s_native (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.273	398ms	137ms	17.5%	4.3 MB	27.8 MB	103.7 KB	297 B
131	6c/61de4d	6278	mappedbamindex_16s_native (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.297	382ms	138ms	11.9%	4.3 MB	27.8 MB	98.3 KB	297 B
138	45/207bb1	6688	mappedbamindex_16s_native (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.349	332ms	120ms	13.9%	3 MB	12.2 MB	95 KB	297 B
137	cc/fa626d	6640	mappedbamindex_16s_ivt (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.341	369ms	118ms	13.3%	3 MB	12.2 MB	98 KB	297 B
140	5e/224e67	7436	mappedbamindex_23s_native (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.440	350ms	116ms	13.6%	4.2 MB	27.8 MB	102.1 KB	297 B
143	74/1b3bb2	7511	mappedbamindex_23s_ivt (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.457	339ms	117ms	13.6%	4.5 MB	27.8 MB	104.3 KB	297 B
144	e8/b19088	7774	mappedbamindex_23s_native (index the mapped bam file)	COMPLETED	0	2022-12-17 09:49:06.501	302ms	94ms	27.7%	4.2 MB	27.8 MB	117.7 KB	297 B
54	30/ad4492	55900	nanostats_23s_ivt (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.700	2.6s	2.5s	42.1%	138.1 MB	828.9 MB	9.9 MB	9.9 KB
99	c9/fef8b6	1679	nanostats_23s_native (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.981	2.4s	2.2s	49.4%	86 MB	524.4 MB	9.9 MB	9.1 KB
51	01/070e05	55797	nanostats_16s_ivt (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.687	2.7s	2.5s	44.9%	95.8 MB	524.4 MB	9.9 MB	8.5 KB
72	05/afa197	57262	nanostats_23s_native (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.891	2.5s	2.3s	47.7%	85.9 MB	524.4 MB	9.9 MB	9.3 KB
108	12/6498c8	2513	nanostats_16s_native (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:06.030	2.4s	2.2s	50.8%	86.4 MB	524.4 MB	9.9 MB	7.7 KB
63	23/5eda57	56706	nanostats_23s_ivt (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.840	2.6s	2.4s	49.3%	148.5 MB	1 GB	9.9 MB	10.3 KB
64	10/783598	56789	nanostats_16s_native (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.852	2.6s	2.4s	48.7%	101.1 MB	2 GB	9.9 MB	7.7 KB
74	7f/2a9745	57312	nanostats_16s_ivt (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.894	2.5s	2.3s	46.9%	86.3 MB	524.4 MB	9.9 MB	8.3 KB
90	ad/e9dcf4	1275	nanostats_23s_native (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.956	2.5s	2.3s	48.9%	86 MB	524.4 MB	9.9 MB	12.5 KB
104	c3/e3f91d	2231	nanostats_23s_ivt (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:06.013	2.4s	2.2s	53.3%	86.4 MB	524.4 MB	9.9 MB	10.5 KB
81	7a/49e9f7	831	nanostats_16s_native (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.926	2.5s	2.3s	50.8%	86.1 MB	524.4 MB	9.9 MB	8.1 KB
84	de/e9af09	915	nanostats_16s_ivt (get read and alignment stats from bam)	COMPLETED	0	2022-12-17 09:49:05.931	2.5s	2.3s	49.5%	86.9 MB	524.4 MB	9.9 MB	9.3 KB
119	18/328cf4	4451	coverageplot_16s_ivt (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.145	12.2s	11.9s	21.2%	148.3 MB	388.5 MB	32.1 MB	34.9 KB
122	15/2fda0d	4864	coverageplot_16s_native (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.174	12.2s	12s	22.5%	148.3 MB	388.5 MB	32.1 MB	35.7 KB
132	2b/4c725c	6328	coverageplot_16s_ivt (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.302	12.1s	11.9s	22.3%	148.8 MB	389 MB	32 MB	35.3 KB
112	ca/ee5e2f	3346	coverageplot_23s_ivt (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.072	12.3s	12.1s	23.3%	148.5 MB	388.5 MB	31.9 MB	48.8 KB
115	75/c31dc3	3676	coverageplot_23s_ivt (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.097	12.3s	12.1s	22.5%	148.3 MB	388.5 MB	32 MB	49.5 KB
118	8e/0c581f	4201	coverageplot_23s_native (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.128	12.3s	12s	22.2%	147.9 MB	388.5 MB	31.8 MB	51.6 KB
130	bc/0b53cf	6098	coverageplot_16s_native (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.281	12.1s	11.9s	22.5%	148.7 MB	388.7 MB	32.5 MB	31.9 KB
139	2a/007749	6706	coverageplot_23s_native (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.353	12.1s	11.9s	22.4%	149.1 MB	389 MB	31.9 MB	49.5 KB
134	9e/82aaa2	6461	coverageplot_23s_native (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.317	12.1s	11.9s	24.9%	148.4 MB	388.7 MB	32 MB	51.3 KB
116	78/c98a0e	3938	coverageplot_16s_native (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.110	12.3s	12.1s	22.6%	148.1 MB	388.5 MB	32.5 MB	31.8 KB
136	cd/bdfae7	6576	coverageplot_23s_ivt (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.332	12.1s	11.9s	22.2%	148.7 MB	389 MB	32 MB	50.5 KB
111	05/a62977	2819	coverageplot_16s_ivt (coverage plot from depth file)	COMPLETED	0	2022-12-17 09:49:06.044	12.4s	12.2s	22.4%	148.1 MB	388.5 MB	32.1 MB	35.3 KB
114	ec/d2c083	3503	extractfast5s_ivt_23s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:06.083	3m 58s	3m 58s	1.1%	66.1 MB	289.6 MB	57.3 MB	1.4 MB
124	6e/c9f5fa	4930	extractfast5s_ivt_16s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:06.182	3m 58s	3m 58s	1.1%	65.5 MB	289 MB	56.1 MB	533.5 KB
94	d1/1f4860	1503	extractfast5s_ivt_16s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:05.970	3m 58s	3m 58s	1.2%	65.6 MB	288.9 MB	56.3 MB	702.6 KB
113	83/b37577	3385	extractfast5s_ivt_23s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:06.076	3m 58s	3m 58s	1.2%	66.1 MB	289.3 MB	56.9 MB	1.2 MB
128	92/971416	5739	extractfast5s_ivt_16s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:06.251	3m 58s	3m 58s	1.1%	66.1 MB	289.3 MB	56.6 MB	966.6 KB
142	5c/57a5ab	7508	extractfast5s_ivt_23s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:06.452	3m 58s	3m 58s	1.1%	66.1 MB	289.1 MB	57.5 MB	1.6 MB
120	3a/5ab038	4518	extractfast5s_native_23s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:06.149	12m 31s	12m 31s	1.1%	65.7 MB	289 MB	203.1 MB	1.3 MB
125	8c/50586f	5450	extractfast5s_native_16s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:06.227	12m 31s	12m 31s	1.1%	65.6 MB	288.9 MB	202.4 MB	779.2 KB
117	3b/400ead	4005	extractfast5s_native_16s (extract multifast5s for mapped reads)	COMPLETED	0	2022-12-17 09:49:06.114	12m 31s	12m 31s	1.1%	65.3 MB	288.7 MB	202 MB	432.4 KB
